2022-05-15 20:05:693 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 20:05:922 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (800eac29c449c352d3810e088eb62937)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 20:05:742 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 20:05:353 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (57ea2bde8f60c3ee418af669ff97542f)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 20:05:375 INFO  RegisterPage :24 - Verify register text display :[[ChromeDriver: chrome on WINDOWS (57ea2bde8f60c3ee418af669ff97542f)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-16 07:05:417 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:341 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (969342457e5d552566ba6b10080acafc)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:363 INFO  RegisterPage :40 - Click on register button :[[ChromeDriver: chrome on WINDOWS (969342457e5d552566ba6b10080acafc)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:514 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:821 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (dbc9a7fffd42310d2951766dc570edaf)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:845 INFO  RegisterPage :40 - Click on register button :[[ChromeDriver: chrome on WINDOWS (dbc9a7fffd42310d2951766dc570edaf)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:877 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:485 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (45827ac65acda366195cee30f927346b)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:508 INFO  RegisterPage :40 - Click on register button :[[ChromeDriver: chrome on WINDOWS (45827ac65acda366195cee30f927346b)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:55 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:282 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (920449bc4d8f0c0a34e07af0a25b1577)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:298 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (920449bc4d8f0c0a34e07af0a25b1577)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:145 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:135 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (d6b45b75ada95f25c8ca8ea0b01d17ac)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:151 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (d6b45b75ada95f25c8ca8ea0b01d17ac)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:487 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:955 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (f089eb9e1bdaac5add0da6d03b7c60ec)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:985 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (f089eb9e1bdaac5add0da6d03b7c60ec)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:386 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:590 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (01b08721422796fab1a3b9c2632e494e)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:620 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (01b08721422796fab1a3b9c2632e494e)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:973 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:941 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (a86d6fd93cd7a8159cd13a671bfccf48)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:965 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (a86d6fd93cd7a8159cd13a671bfccf48)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:881 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:645 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (f6d0b926bf9f04bfed26bc62866bb628)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:673 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (f6d0b926bf9f04bfed26bc62866bb628)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:665 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:483 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (2f6b9dee63bef9527d4197967c2b3f5f)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:510 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (2f6b9dee63bef9527d4197967c2b3f5f)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:677 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:246 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (8b6880b3eee0a94a5e2a3dc6842ca67c)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:265 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (8b6880b3eee0a94a5e2a3dc6842ca67c)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:494 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:443 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (811c04b9744b43e2de64e60e9be79044)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:466 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (811c04b9744b43e2de64e60e9be79044)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:582 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:648 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (470edb597efc56679d1120d8a7f143b4)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:672 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (470edb597efc56679d1120d8a7f143b4)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:220 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:390 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (21186dcbed851b2832bbda89a54af305)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:407 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (21186dcbed851b2832bbda89a54af305)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:378 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:520 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (9a976d0a548daa861f8dd872db39098c)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:536 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (9a976d0a548daa861f8dd872db39098c)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:774 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:118 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (ad8458a4d913e889f59bf7a771cf7839)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:148 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (ad8458a4d913e889f59bf7a771cf7839)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:242 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:681 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (3b8f4281f0f936659591a9ba8d50c8bc)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:692 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (3b8f4281f0f936659591a9ba8d50c8bc)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:870 INFO  ManageDriver :32 - Launching Chrome Browser
